County,pop_density,Total_votes,TOTAL VOTERS,AI,AP,BH,HP,WH,OT,UK,BidenVoteShare,TrumpVoteShare,Turnout,voteChange,TurnoutChange,Median household income,Education,senior,youth,old_margin,new_margin,margin_change,past_result,current_result,urbanicity,in_atlanta_metro,Turnout2016
Hart,109.3248419,12727,16942,0.1,0.84,14.55,0.78,77.54,0.59,5.61,24.81,74.36,75.12,26.26,8.84,36109,21,29.63640656,16.89883131,-46.64,-49.55,-2.91,Rep,Rep,Rural,No,66.28
Heard,39.43519238,5391,7772,0.24,0.4,8.61,0.68,83.61,1.04,5.42,15.28,83.77,69.36,28.17,7.69,42685,16.3,20.88265569,20.38085435,-62.45,-68.49,-6.04,Rep,Rep,Rural,No,61.67
Henry,649.0205818,122742,172241,0.18,2.07,44.68,3.26,37.54,3.31,8.96,59.7,39.26,71.26,24.88,6.17,63923,26.9,15.83711195,23.1356065,4.41,20.44,16.03,Dem,Dem,Suburban,Yes,65.09
Houston,387.7669489,74823,105587,0.2,2.17,30.18,2.53,56.23,1.77,6.92,43.08,55.51,70.86,25.24,10.15,55098,34.4,18.38862739,21.49696459,-21.55,-12.43,9.12,Rep,Rep,Suburban,No,60.71
Irwin,26.75960941,4168,6124,0.15,0.41,23.06,1.01,71.64,0.36,3.38,24.18,75.19,68.06,13.72,1.6,38376,20.9,24.57544089,19.2194644,-49.8,-51.01,-1.21,Rep,Rep,Rural,No,66.46
Jackson,179.3793794,37670,52010,0.13,1.48,6.09,3.52,79.64,1.11,8.03,20.29,78.3,72.43,38.96,3.16,51506,27,19.42703326,20.04422226,-63.79,-58.01,5.78,Rep,Rep,Suburban,No,69.27
Jasper,37.06812256,7644,10434,0.13,0.25,17.3,1.21,77.82,0.5,2.79,23.04,76.16,73.26,26.91,6.82,42081,16.3,22.41709795,18.79432624,-46.75,-53.12,-6.37,Rep,Rep,Rural,No,66.44
Jeff Davis,45.43750378,5771,8495,0.09,0.33,14.67,3.03,76.56,0.64,4.69,17.81,81.36,67.93,13.36,6.58,32928,18,22.53090053,20.68275456,-62.91,-63.55,-0.64,Rep,Rep,Rural,No,61.35
Jefferson,31.44278985,7642,11350,0.12,0.23,50.29,0.4,40.91,0.63,7.43,53.14,46.28,67.33,9.89,3.15,29268,16.7,26.03524229,18.61674009,10.9,6.86,-4.04,Dem,Dem,Rural,No,64.18
Jenkins,25.32250633,3455,5075,0.12,0.28,35.21,0.49,56.08,0.39,7.43,36.64,62.55,68.08,13.2,8.74,27686,18,26.12807882,19.09359606,-25.29,-25.91,-0.62,Rep,Rep,Rural,No,59.34
